id;name;Aadress;X;y
12911;Eralasteaed Memme Musi;Harju maakond, Tallinna linn, Pirita linnaosa, Esku tn 16;550035.0028;6593149.026
13000;Eralasteaed Midrimaailm;Harju maakond, Tallinna linn, Nõmme linnaosa, Pargi tn 16;538370.9431;6581892.933
12783;Eralasteaed Naba;Harju maakond, Tallinna linn, Pirita linnaosa, Kloostrimetsa tee 29;547714.9678;6592659.961
12837;Eralasteaed Punamütsikese Mudilasmaja;Harju maakond, Tallinna linn, Pirita linnaosa, Kummeli tee 18;549127.0479;6594752.925
12876;Eralasteaed Pääsupoeg;Harju maakond, Viimsi vald, Pringi küla, Paakspuu tee 10;544997.0611;6600251.961
12697;Eralasteaed Rukkilille lasteaed;Harju maakond, Keila linn, Kruusa tn 23;522829.9523;6574784.04
13211;Eralasteaed TERAKE;Tartu maakond, Tartu linn, Tähe 4;659469;6473549
12744;Eralasteaed Tibu;Harju maakond, Viimsi vald, Viimsi alevik, Vehema tee 6;547860.9423;6596371.057
12624;Eralasteaed Tiki-Triki;Lääne-Viru maakond, Rakvere vald, Tõrma küla, Talli;633594.9916;6578338.404
12140;Erra Lasteaed;Ida-Viru maakond, Sonda vald, Erra alevik, Puiestee tn 8;669987.0035;6585173.057
13412;Esku-Kamari Kool;Jõgeva maakond, Põltsamaa vald, Esku küla, Esku lasteaed-algkool;609793;6501748
13100;Eurogümnaasium;Harju maakond, Tallinna linn, Mustamäe linnaosa, Eduard Vilde tee 72;539097;6585408
12101;Ferdinand von Wrangell' i nimeline Roela Lasteaed-Põhikool;Lääne-Viru maakond, Vinni vald, Roela alevik, Järve tn 1;648300;6561951
13500;Friedebert Tuglase nim. Ahja Kool;Põlva maakond, Ahja vald, Ahja alevik, Tartu mnt 23b;680454;6456030
44851;Gaia Kool;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Tuulemaa 12;539211;6590430
12023;Gruusia pühapäevakool “Deda-Ena”;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kaera tn 21;539952.0028;6589859.965
12885;Gustav Adolfi Gümnaasium;Harju maakond, Tallinna linn, Kesklinna linnaosa, Suur-Kloostri tn 16;542166;6589333
13057;Haabersti Vene Gümnaasium;Harju maakond, Tallinna linn, Haabersti linnaosa, Õismäe tee 132;536793;6586792
44852;Haabneeme Kool;Harju maakond, Viimsi vald, Haabneeme alevik, Randvere tee 18;548093;6593689
13463;Haanja Kool;Võru maakond, Haanja vald, Haanja küla, Võru tee 5;681737;6401883
12520;Haapsalu Lasteaed Päikesejänku;Lääne maakond, Haapsalu linn, Endla tn 9;473312.977;6533952.053
12515;Haapsalu Lasteaed Pääsupesa;Lääne maakond, Haapsalu linn, Niine tn 5;473735.0122;6533855.067
12519;Haapsalu Lasteaed Tareke;Lääne maakond, Haapsalu linn, Põllu tn 6;473855.0026;6533910.015
12517;Haapsalu Lasteaed Tõruke;Lääne maakond, Haapsalu linn, Ferdinand Johann Wiedemanni tn 12;473201.9239;6534416.953
12524;Haapsalu Lasteaed Vikerkaar;Lääne maakond, Haapsalu linn, Lihula mnt 13;473704.063;6533080.012
12521;Haapsalu Linna Algkool;Lääne maakond, Haapsalu linn, Ehte tn 14;473198;6534537
12507;Haapsalu Nikolai Kool;Lääne maakond, Haapsalu linn, Lihula mnt 12;473579;6532995
12508;Haapsalu Põhikool;Lääne maakond, Haapsalu linn, Kuuse tn 1;473705;6533319
12522;Haapsalu Täiskasvanute Gümnaasium;Lääne maakond, Haapsalu, Kuuse 1;473703;6533327
12500;Haapsalu Wiedemanni Gümnaasium;Lääne maakond, Haapsalu linn, Ferdinand Johann Wiedemanni tn 15;473182;6534268
12501;Haapsalu Viigi Kool;Lääne maakond, Haapsalu linn, Suur-Mere tn 17;473237;6534719
12577;Hagudi Põhikool;Rapla maakond, Rapla vald, Hagudi alevik, Kooli tn 1/2;546408;6547581
12823;Haiba Lasteaed Riisikas;Harju maakond, Kernu vald, Haiba küla, Riisipere tee 19;526735.3501;6554293.156
12069;Haljala Gümnaasium;Lääne-Viru maakond, Haljala vald, Haljala alevik, Rakvere mnt 10;628491;6590228
12068;Haljala Lasteaed Pesapuu;Lääne-Viru maakond, Haljala vald, Haljala alevik, Võsu mnt 2a;628800.0099;6590499.969
12312;Halliste Lasteaed Pääsuke;Viljandi maakond, Halliste vald, Pornuse küla, Halliste põhikool;584584.6241;6446764.713
12311;Halliste Põhikool;Viljandi maakond, Halliste vald, Pornuse küla, Halliste põhikool;584600;6446781
13380;Hargla Kool;Valga maakond, Taheva vald, Hargla küla, Hargla kool;644337;6388437
12994;Harku Lasteaed;Harju maakond, Harku vald, Harku alevik, Instituudi tee 5;532974.0233;6583520.996
13053;Harkujärve Põhikool;Harju maakond, Harku vald, Harkujärve küla, Ventri tee 2;534217;6586393
12810;Harmi Põhikool;Harju maakond, Kose vald, Harmi küla, Harmi kool;568931;6554011
12678;Hawaii Expressi Purjelauakool;Harju maakond, Tallinna linn, Pirita linnaosa, Merivälja tee 1f;546957.9525;6592613.951
12344;Heimtali Lasteaed;Viljandi maakond, Pärsti vald, Heimtali küla, Heimtali lasteaed;588082.3856;6465725.182
12303;Heimtali Põhikool;Viljandi maakond, Viljandi vald, Heimtali küla, Pargi ring 1;588215;6465642
12653;Helen Doron Early English Viimsi Huvikool;Harju maakond, Viimsi vald, Heki tee 6-4;547172;6597572
12606;Hellenurme Mõis eralasteaed;Valga maakond, Palupera vald, Hellenurme küla, Mõisa aed;640247.7558;6446269.856
13363;Helme Sanatoorne Internaatkool;Valga maakond, Helme vald, Kirikuküla küla, Helme Sanatoorne Internaatkool;612232.0668;6430143.643
37777;Herbert Hahni Kool;Pärnu maakond, Pärnu linn, Kooli tn 11;530239;6471410
12695;Hilariuse Kool;Harju maakond, Tallinna linn, Sõle 40;540040;6589626
13473;Himmaste Algkool;Põlva maakond, Põlva vald, Himmaste küla, Himmaste kool;681509;6442925
12299;Holstre Kool;Viljandi maakond, Viljandi vald, Holstre küla, Kooli tee 1;599293;6460717
